Season,Pick,User
16-17,1,19peter90
16-17,2,luckysori
16-17,3,Abel Fuego
16-17,4,marttinelli13
16-17,5,willye
16-17,6,IArchondo
16-17,7,theRosende
16-17,8,pablofg_
16-17,9,Sovozca
16-17,10,MigQuintana
16-17,11,javimgol
16-17,12,Paumarting
16-17,13,A_andres
16-17,14,Aldrin
16-17,15,AntonioGrito
16-17,16,jaumenaveira
16-17,17,villuqo
16-17,18,calotejon
16-17,19,caprichitos
16-17,20,danidelacuesta
17-18,1,calotejon
17-18,2,javimgol
17-18,3,mariscalpaquillo
17-18,4,jaumenaveira
17-18,5,19peter90
17-18,6,danidelacuesta
17-18,7,Sovozca
17-18,8,caprichitos
17-18,9,A_andres
17-18,10,luckysori
17-18,11,theRosende
17-18,12,MigQuintana
17-18,13,Abel Fuego
17-18,14,jbena14
17-18,15,Aldrin
17-18,16,pablofg_
17-18,17,villuqo
17-18,18,AntonioGrito
17-18,19,IArchondo
17-18,20,willye
18-19,1,AntonioGrito
18-19,2,A_andres
18-19,3,Sovozca
18-19,4,IArchondo
18-19,5,villuqo
18-19,6,PerezIII
18-19,7,danidelacuesta
18-19,8,Abel Fuego
18-19,9,theRosende
18-19,10,19peter90
18-19,11,jbena14
18-19,12,Aldrin
18-19,13,pablofg_
18-19,14,MigQuintana
18-19,15,foleyforo
18-19,16,caprichitos
18-19,17,jaumenaveira
18-19,18,luckysori
18-19,19,calotejon
18-19,20,mariscalpaquillo
19-20,1,-
19-20,2,-
19-20,3,-
19-20,4,-
19-20,5,-
19-20,6,-
19-20,7,-
19-20,8,-
19-20,9,-
19-20,10,-
19-20,11,-
19-20,12,-
19-20,13,-
19-20,14,-
19-20,15,-
19-20,16,-
19-20,17,-
19-20,18,-
19-20,19,-
19-20,20,-
20-21,1,theRosende
20-21,2,pablofg_
20-21,3,villuqo
20-21,4,danidelacuesta
20-21,5,19peter90
20-21,6,IArchondo
20-21,7,jbena14
20-21,8,jaumenaveira
20-21,9,A_andres
20-21,10,AntonioGrito
20-21,11,foleyforo
20-21,12,luckysori
20-21,13,calotejon
20-21,14,Aldrin
20-21,15,PerezIII
20-21,16,AndiOnrunbia
20-21,17,Sovozca
20-21,18,Pegalajar
20-21,19,mariscalpaquillo
20-21,20,caprichitos
21-22,1,AndiOnrunbia
21-22,2,Pegalajar
21-22,3,IArchondo
21-22,4,jaumenaveira
21-22,5,theRosende
21-22,6,Aldrin
21-22,7,danidelacuesta
21-22,8,pablofg_
21-22,9,caprichitos
21-22,10,luckysori
21-22,11,jbena14
21-22,12,Sovozca
21-22,13,foleyforo
21-22,14,Tinik
21-22,15,A_andres
21-22,16,AntonioGrito
21-22,17,villuqo
21-22,18,calotejon
22-23,1,danidelacuesta
22-23,2,AndiOnrunbia
22-23,3,AntonioGrito
22-23,4,A_andres
22-23,5,villuqo
22-23,6,foleyforo
22-23,7,jaumenaveira
22-23,8,Sovozca
22-23,9,Pegalajar
22-23,10,jbena14
22-23,11,pablofg_
22-23,12,Aldrin
22-23,13,caprichitos
22-23,14,theRosende
22-23,15,luckysori
22-23,16,Tinik
22-23,17,calotejon
22-23,18,19peter90
22-23,19,IArchondo
22-23,20,FranMoro
23-24,1,IArchondo
23-24,2,caprichitos
23-24,3,foleyforo
23-24,4,Tinik
23-24,5,danidelacuesta
23-24,6,A_andres
23-24,7,jaumenaveira
23-24,8,calotejon
23-24,9,pablofg_
23-24,10,Pegalajar
23-24,11,Sovozca
23-24,12,jbena14
23-24,13,AndiOnrunbia
23-24,14,theRosende
23-24,15,villuqo
23-24,16,19peter90
23-24,17,FranMoro
23-24,18,AntonioGrito
23-24,19,luckysori
23-24,20,Aldrin
24-25,1,Pegalajar
24-25,2,danidelacuesta
24-25,3,calotejon
24-25,4,Sovozca
24-25,5,theRosende
24-25,6,jbena14
24-25,7,AntonioGrito
24-25,8,Tinik
24-25,9,foleyforo
24-25,10,jaumenaveira
24-25,11,pablofg_
24-25,12,luckysori
24-25,13,villuqo
24-25,14,Aldrin
24-25,15,IArchondo
24-25,16,19peter90
24-25,17,AndiOnrunbia
24-25,18,A_andres
24-25,19,caprichitos
24-25,20,antonioarenas